,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek
5045,Mid,UK,M,14,EC,DBAG,Y,3,,3,,PB,S,M,2000.0,Bachelors (4 years),Yes,YesValid,50.0,two
5046,Very High,India,M,8,E,DBAP,N,5,,2,,PB,C,M,60.0,Bachelors (4 years),Yes,YesValid,40.0,one
5047,High,Ireland,M,12,E,A,Y,4,,0,,PB,C,M,25.0,Masters,No,YesExpired,40.0,zero
5048,Low,USA,M,10,E,DBAG,N,2,,1,,SG,S,M,16.0,Bachelors (4 years),No,YesExpired,40.0,zero
5049,High,USA,M,18,E,DBAP,N,16,,4,,PB,S,M,231.0,Bachelors (4 years),No,YesExpired,50.0,one
5050,Low,USA,M,5,E,DBAP,N,5,,6,,NP,S,M,700.0,Bachelors (4 years),Yes,N,40.0,zero
5051,Low,Germany,M,16,E,DBAD,N,3,,0,,PB,S,M,6.0,Masters,No,N,40.0,zero
5052,Very Low,UK,M,10,E,M,Y,8,,0,,LG,S,M,35.0,None (no degree completed),,N,40.0,one
5053,Very High,USA,M,11,E,M,Y,1,,3,,PB,S,M,250.0,Masters,Yes,YesExpired,40.0,zero
5054,Low,Norway,M,17,E,DBAP,N,2,,0,,PB,S,M,60.0,Associates (2 years),Yes,YesExpired,40.0,zero
5055,Low,USA,M,8,E,M,Y,5,,3,,PB,SE,M,400.0,Masters,Yes,N,45.0,one
5056,Very Low,UK,M,3,E,DBAG,N,1,,1,,PB,S,M,25.0,None (no degree completed),,YesValid,40.0,zero
5057,Mid,Germany,M,11,E,DBAP,N,1,,1,,PB,S,M,300.0,None (no degree completed),,N,40.0,zero
5058,Very High,USA,M,17,E,A,N,2,,0,,PB,S,M,800.0,Bachelors (4 years),Yes,N,40.0,two
5059,Low,Sweden,M,7,EC,DBAP,N,7,,5,,PB,S,M,200.0,Associates (2 years),No,YesValid,40.0,three
5060,High,USA,M,20,E,DBAG,N,0,,1,,PB,SR,F,50.0,Bachelors (4 years),No,YesValid,45.0,four
5061,Low,Germany,M,15,EC,DBAP,Y,17,,4,,PB,SE,,100.0,None (no degree completed),,YesValid,50.0,zero
5062,Very Low,Hungary,M,3,E,DA,Y,4,,1,,PB,SE,M,1.0,Associates (2 years),No,N,43.0,zero
5063,High,USA,M,8,E,DBAG,Y,4,,6,,PB,S,M,1000.0,Bachelors (4 years),Yes,YesValid,40.0,five
5064,Very Low,Ireland,M,7,E,DBAG,N,3,,0,,PB,SR,M,5.0,Bachelors (4 years),Yes,YesValid,38.0,zero
5065,Mid,UK,M,18,E,DBAD,N,18,,2,,PB,,M,580.0,None (no degree completed),,N,37.0,zero
5066,High,USA,M,12,E,DBAD,N,15,,2,,PB,S,M,20.0,Bachelors (4 years),Yes,YesValid,45.0,two
5067,Very High,USA,M,7,E,D,N,1,,2,,PB,S,M,20.0,Bachelors (4 years),No,N,45.0,zero
5068,Low,UK,M,10,E,DBAG,Y,3,,2,,PB,,M,5.0,Bachelors (4 years),Yes,YesExpired,37.0,one
5069,Low,USA,M,9,E,DBAG,Y,9,,2,,E,SE,M,50.0,Bachelors (4 years),No,N,40.0,zero
5070,Very Low,UK,M,8,E,E,N,4,,0,,E,C,M,18.0,Masters,Yes,N,38.0,zero
5071,Mid,USA,M,6,E,DBAP,N,6,,0,,PB,S,M,10.0,None (no degree completed),,N,45.0,two
5072,Very High,USA,DB2,28,E,DBAG,N,7,,3,,PB,S,M,137.0,None (no degree completed),,N,40.0,zero
5073,High,USA,M,8,E,D,N,26,,0,,PB,S,M,15.0,Bachelors (4 years),No,N,41.0,one
5074,Mid,USA,M,3,E,DBAP,N,25,,1,,NP,SE,M,80.0,Bachelors (4 years),Yes,YesExpired,42.0,zero
5075,Very High,USA,M,20,E,DBAP,N,5,,2,,PB,S,M,100.0,None (no degree completed),,N,45.0,one
5076,High,USA,M,12,E,DA,N,3,,0,,PB,C,M,6.0,Doctorate/PhD,No,N,40.0,zero
5077,High,USA,M,15,E,AN,N,6,,2,,NP,,M,10.0,Bachelors (4 years),Yes,N,38.0,one
5078,Very Low,UK,M,12,E,D,N,8,,1,,LG,,M,4.0,Bachelors (4 years),No,N,38.0,zero
5079,Very High,USA,M,15,E,DBAG,N,6,,0,,PB,S,M,150.0,Bachelors (4 years),No,YesExpired,50.0,zero
5080,Very Low,Poland,M,4,E,DBAP,N,4,,5,,PB,C,M,20.0,Masters,Yes,YesValid,40.0,two
5081,Mid,USA,M,6,E,A,N,6,,1,,PB,S,M,10.0,Associates (2 years),No,N,40.0,zero
5082,Mid,Switzerland,M,10,E,A,N,10,,3,,PB,S,M,7.0,Bachelors (4 years),No,N,45.0,zero
5083,Low,USA,O,4,E,AN,N,1,,1,,PB,S,M,1.0,Masters,No,N,40.0,five
5084,Very Low,UK,M,15,E,,Y,3,,1,,PB,SR,M,6.0,Bachelors (4 years),Yes,YesValid,45.0,zero
5085,Very High,USA,M,20,E,DBAP,N,5,,0,,PB,S,F,40.0,Masters,Yes,YesValid,40.0,zero
5086,Mid,USA,M,15,E,DA,Y,1,,0,,PB,S,M,5.0,None (no degree completed),,N,45.0,two
5087,High,USA,M,17,E,DT,N,17,,0,,PB,S,M,2.0,Bachelors (4 years),Yes,N,55.0,zero
5088,Very High,Switzerland,M,8,E,M,Y,1,,2,,PB,S,M,10.0,Bachelors (4 years),,YesValid,41.0,zero
5089,High,USA,M,17,E,DBAP,N,3,,0,,PB,S,M,80.0,Bachelors (4 years),No,YesExpired,40.0,one
5090,Low,Canada,M,10,E,DBAP,Y,1,,1,,PB,S,M,65.0,Bachelors (4 years),Yes,N,38.0,zero
5091,Very High,USA,M,14,E,DBAG,Y,1,,3,,PB,S,M,60.0,Bachelors (4 years),Yes,YesValid,45.0,two
5092,Mid,UK,M,8,E,DBAG,Y,1,,1,,PB,SR,M,300.0,None (no degree completed),,YesValid,38.0,zero
5093,Very High,USA,M,20,E,DT,N,10,,0,,PB,S,M,5.0,Bachelors (4 years),No,YesExpired,40.0,zero
5094,Low,Bahrain,SAP,5,E,DBAD,Y,6,,0,,PB,S,M,10.0,Bachelors (4 years),Yes,N,40.0,zero
5095,Very High,USA,M,20,E,DBAP,N,17,,5,,PB,S,F,400.0,None (no degree completed),,YesExpired,45.0,four
5096,High,USA,O,15,E,DBAG,N,25,,0,,PB,SE,F,350.0,Bachelors (4 years),Yes,YesExpired,45.0,one
5097,Low,USA,O,10,E,DBAG,N,10,,0,,E,,M,1.0,Bachelors (4 years),No,N,40.0,zero
5098,Low,Canada,M,20,E,DBAG,Y,20,,5,,PB,S,M,130.0,None (no degree completed),,YesValid,40.0,zero
5099,Low,Canada,M,6,E,DBAP,N,4,,4,,SG,,M,100.0,Bachelors (4 years),Yes,N,38.0,zero
5100,Mid,USA,M,13,E,E,N,3,,2,,PB,SR,M,12.0,None (no degree completed),,YesValid,48.0,three
5101,High,USA,M,12,E,DBAP,N,12,,6,,PB,S,M,150.0,Associates (2 years),Yes,YesExpired,45.0,three
5102,Mid,USA,M,10,EC,DBAG,N,6,,5,,PB,S,M,50.0,Bachelors (4 years),Yes,N,45.0,three
5103,Mid,USA,M,20,E,A,N,12,,0,,LG,SE,M,40.0,None (no degree completed),,YesExpired,40.0,zero
5104,High,USA,M,10,E,DBAP,N,10,,3,,PB,C,M,200.0,Masters,Yes,YesExpired,40.0,zero
5105,High,USA,M,6,E,E,N,6,,0,,PB,SR,M,95.0,None (no degree completed),,N,50.0,zero
5106,Very High,USA,M,21,E,DBAG,Y,10,,0,,PB,S,M,3.0,Bachelors (4 years),Yes,N,60.0,one
5107,Low,Canada,M,15,E,DBAG,Y,6,,4,,SG,SE,M,250.0,Associates (2 years),Yes,YesExpired,36.0,zero
5108,Low,Canada,M,5,E,D,Y,8,,1,,PB,S,M,4.0,Associates (2 years),Yes,N,50.0,one
5109,Low,Canada,M,18,E,DT,Y,10,,6,,LG,S,M,10.0,Masters,Yes,N,37.0,one
5110,Mid,USA,M,6,E,DA,N,6,,2,,PB,S,F,4.0,Bachelors (4 years),No,N,40.0,five
5111,Low,USA,M,23,E,DBAG,N,5,,0,,PB,S,M,20.0,Associates (2 years),No,YesExpired,42.0,five
5112,Very Low,USA,M,2,E,DBAG,N,2,,1,,LG,S,M,35.0,Bachelors (4 years),Yes,N,40.0,zero
5113,Very High,USA,M,21,IC,A,N,15,,0,,PB,SR,M,6.0,Masters,No,N,45.0,zero
5114,Very High,USA,M,10,E,D,Y,4,,0,,PB,SR,M,5.0,Masters,No,N,50.0,two
5115,Mid,USA,M,8,E,DBAG,N,4,,2,,PB,S,M,300.0,Associates (2 years),Yes,YesExpired,50.0,one
5116,Very High,USA,M,15,E,DA,N,15,,2,,FG,S,M,6.0,Doctorate/PhD,No,N,46.0,zero
5117,High,USA,M,15,E,A,N,30,,1,,PB,S,M,160.0,Bachelors (4 years),Yes,YesExpired,40.0,five
5118,High,USA,M,10,E,DBAG,N,12,,3,,PB,S,M,75.0,None (no degree completed),,N,45.0,three
5119,Mid,USA,M,14,E,DBAG,N,6,,3,,PB,C,F,20.0,Associates (2 years),No,YesValid,40.0,one
5120,High,USA,M,18,E,DBAG,N,1,,4,,E,SE,M,75.0,Bachelors (4 years),Yes,YesExpired,42.0,two
5121,High,USA,M,17,E,DBAG,N,9,,0,,PB,S,M,80.0,Bachelors (4 years),No,YesExpired,45.0,zero
5122,Very High,USA,M,19,IC,DBAD,N,1,,0,,PB,SR,M,3.0,Bachelors (4 years),Yes,YesExpired,45.0,two
5123,High,USA,M,20,E,D,N,3,,3,,PB,SR,M,30.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
5124,High,USA,M,8,E,DBAG,Y,5,,2,,PB,S,M,15.0,None (no degree completed),,YesExpired,45.0,zero
5125,Mid,USA,M,1,E,DBAG,N,1,,0,,PB,S,M,20.0,Masters,Yes,N,40.0,zero
5126,Mid,USA,M,3,E,DA,Y,3,,5,,SG,SE,M,6.0,Bachelors (4 years),Yes,N,40.0,zero
5127,Very High,USA,M,12,E,E,Y,12,,0,,PB,S,M,500.0,Bachelors (4 years),Yes,N,40.0,zero
5128,Low,USA,M,4,E,D,N,4,,0,,PB,S,M,2.0,Bachelors (4 years),Yes,N,40.0,one
5129,Low,UK,M,25,E,DT,N,2,,0,,PB,S,M,10.0,None (no degree completed),No,YesExpired,45.0,four
5130,High,Iceland,M,6,EC,E,Y,3,,0,,PB,SE,M,10.0,Bachelors (4 years),Yes,YesValid,40.0,one
5131,Very High,New-Zealand,M,20,IC,DBAD,N,11,,0,,PB,S,M,20.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
5132,Mid,USA,M,15,E,DBAP,N,7,,2,,PB,S,M,220.0,Bachelors (4 years),Yes,N,40.0,zero
5133,Mid,USA,M,2,E,D,N,6,,1,,PB,S,F,20.0,Bachelors (4 years),No,YesValid,40.0,zero
5134,Very High,USA,M,16,E,DBAG,N,2,,0,,PB,S,M,30.0,None (no degree completed),,N,38.0,three
5135,High,USA,M,5,E,E,N,5,,3,,PB,S,M,15.0,Masters,No,YesValid,40.0,one
5136,Very High,USA,M,14,E,DT,N,14,,6,,PB,S,M,100.0,Bachelors (4 years),Yes,N,45.0,one
5137,Very Low,Romania,M,10,E,DBAG,N,5,,0,,PB,S,M,15.0,Masters,No,YesValid,9.0,three
5138,Very Low,UK,M,7,EC,DT,N,2,,4,,PB,SR,M,16.0,None (no degree completed),,N,35.0,two
5139,Mid,USA,M,10,E,DA,Y,3,,1,,SG,S,M,6.0,Bachelors (4 years),No,N,40.0,zero
5140,Mid,USA,M,9,E,DBAG,N,3,,0,,PB,S,M,36.0,Bachelors (4 years),No,N,50.0,two
5141,Very Low,UK,M,15,E,DBAD,N,6,,6,,PB,SR,M,50.0,Bachelors (4 years),Yes,YesExpired,40.0,two
5142,Low,USA,M,18,E,DBAP,N,17,,0,,LG,,,38.0,Bachelors (4 years),No,N,50.0,zero
5143,High,USA,M,3,E,DBAP,N,1,,2,,PB,S,M,600.0,Bachelors (4 years),Yes,YesValid,40.0,zero
5144,High,USA,DB2,12,EC,DBAG,N,10,,5,,SG,C,M,50.0,Masters,Yes,YesValid,40.0,zero
5145,High,USA,M,8,E,DBAP,N,4,,0,,FG,S,M,6.0,Bachelors (4 years),Yes,YesExpired,40.0,one
5146,Mid,USA,M,18,E,DT,Y,5,,3,,PB,S,M,20.0,None (no degree completed),,YesExpired,43.0,zero
5147,Mid,USA,M,11,E,DBAP,N,5,,4,,PB,SE,M,300.0,Bachelors (4 years),Yes,N,40.0,five
5148,Very Low,Poland,M,12,E,M,Y,22,,3,,PB,S,M,2.0,None (no degree completed),Yes,YesExpired,42.0,zero
5149,Mid,Australia,M,6,EC,DBAP,Y,2,,0,,PB,S,M,90.0,Bachelors (4 years),Yes,YesValid,30.0,three
5150,Low,USA,M,7,E,DBAG,N,3,,1,,PB,C,M,70.0,Bachelors (4 years),Yes,YesValid,41.0,zero
5151,Mid,USA,M,5,E,DBAP,N,3,,2,,PB,,M,20.0,Bachelors (4 years),Yes,N,40.0,zero
5152,High,USA,M,10,E,DBAG,N,7,,1,,PB,S,M,243.0,Bachelors (4 years),Yes,N,55.0,five
5153,Very High,USA,M,14,E,DT,N,10,,3,,PB,S,M,20.0,Bachelors (4 years),Yes,YesValid,40.0,zero
5154,Low,Sweden,M,10,E,D,N,13,,1,,PB,S,M,10.0,Bachelors (4 years),Yes,N,40.0,two
5155,Low,Germany,M,10,EC,D,N,0,,3,,PB,SR,M,35.0,Masters,Yes,YesValid,40.0,zero
5156,Low,UK,M,5,E,DBAG,N,2,,0,,PB,C,M,7.0,None (no degree completed),,N,40.0,two
5157,Very Low,Netherlands,M,5,E,AN,N,5,,6,,PB,SE,M,3.0,Masters,No,N,40.0,zero
5158,Very Low,Netherlands,M,21,E,DA,Y,10,,2,,E,SE,M,38.0,Bachelors (4 years),,YesValid,36.0,one
5159,Very Low,India,M,7,E,DBAD,N,2,,2,,PB,S,M,400.0,Bachelors (4 years),No,N,40.0,zero
5160,Low,Germany,M,12,EC,DBAG,N,4,,1,,PB,,M,40.0,None (no degree completed),,YesExpired,40.0,zero
5161,Very Low,UK,M,20,E,D,Y,15,,1,,E,SR,M,6.0,Bachelors (4 years),No,N,48.0,zero
5162,Very Low,Romania,M,12,IC,DA,Y,2,,0,,PB,,M,3.0,Bachelors (4 years),Yes,YesExpired,60.0,one
5163,Very High,USA,M,10,E,DBAG,N,8,,0,,PB,S,M,70.0,Bachelors (4 years),Yes,YesValid,50.0,zero
5164,Very Low,UK,M,2,E,DA,N,1,,6,,PB,SR,M,4.0,Bachelors (4 years),Yes,YesValid,40.0,zero
5165,Low,Canada,M,20,E,DBAG,N,2,,6,,PB,S,M,150.0,Bachelors (4 years),No,YesExpired,40.0,one
5166,Low,USA,M,5,E,DT,N,5,,3,,PB,S,M,25.0,Bachelors (4 years),Yes,YesValid,45.0,five
5167,Very Low,Canada,M,5,E,DBAD,N,2,,0,,PB,S,F,8.0,None (no degree completed),,N,46.0,two
5168,Very High,USA,M,12,E,A,N,6,,0,,PB,S,M,12.0,None (no degree completed),,YesValid,45.0,zero
5169,Very High,USA,M,17,E,A,N,8,,0,,PB,S,M,15.0,Associates (2 years),No,N,45.0,zero
5170,Mid,USA,M,10,E,DBAG,N,10,,0,,PB,S,M,8.0,Bachelors (4 years),Yes,YesValid,50.0,zero
5171,High,USA,M,9,E,,N,7,,6,,PB,SE,M,50.0,Associates (2 years),Yes,YesExpired,45.0,five
5172,High,UK,M,8,E,DBAP,N,2,,0,,PB,SE,F,700.0,Bachelors (4 years),No,N,37.0,one
5173,High,Switzerland,M,15,E,DBAP,N,21,,6,,PB,,M,100.0,Bachelors (4 years),,YesExpired,42.0,zero
5174,Low,UK,M,10,E,DBAG,N,1,,2,,PB,,M,10.0,None (no degree completed),,N,35.0,one
5175,Mid,USA,M,15,E,DBAG,N,9,,0,,NP,S,M,6.0,None (no degree completed),,N,41.0,zero
5176,Mid,USA,M,7,E,E,N,7,,1,,PB,S,M,37.0,Bachelors (4 years),Yes,YesExpired,42.0,zero
5177,Low,USA,M,10,E,DBAP,N,1,,0,,PB,SR,F,415.0,None (no degree completed),,YesValid,50.0,zero
5178,Very Low,USA,M,3,E,DBAP,N,1,,0,,PB,S,M,6.0,Associates (2 years),Yes,YesExpired,40.0,three
5179,Very Low,Italy,M,16,E,DBAP,Y,11,,1,,PB,SE,M,10.0,Bachelors (4 years),No,YesValid,40.0,four
5180,Mid,USA,M,20,E,DBAP,N,3,,2,,PB,S,M,250.0,Masters,No,YesExpired,42.0,zero
5181,Very High,USA,M,15,E,M,Y,5,,1,,PB,SR,M,150.0,Masters,Yes,YesValid,50.0,zero
5182,Very Low,USA,MA,3,E,DA,N,3,,0,,NP,S,M,1.0,Bachelors (4 years),Yes,N,40.0,zero
5183,Very Low,UK,M,15,E,AN,N,10,,0,,LG,S,M,8.0,Bachelors (4 years),Yes,N,37.0,two
5184,Low,USA,O,4,E,DBAP,N,2,,1,,LG,S,M,10.0,Bachelors (4 years),Yes,N,40.0,zero
5185,Low,Canada,M,9,E,D,N,9,,0,,E,S,M,15.0,Associates (2 years),No,YesExpired,40.0,zero
5186,Mid,USA,M,3,E,DBAP,N,3,,0,,PB,S,M,10.0,Bachelors (4 years),Yes,YesValid,55.0,one
5187,Mid,USA,M,16,E,DBAP,N,16,,6,,PB,S,F,5000.0,None (no degree completed),,N,44.0,one
5188,Very High,USA,M,10,EC,DBAG,Y,3,,2,,PB,SE,M,50.0,None (no degree completed),,YesValid,50.0,five
5189,Very High,USA,M,15,E,DBAG,N,1,,0,,PB,S,M,8.0,Bachelors (4 years),Yes,N,40.0,zero
5190,High,USA,M,18,E,DBAG,N,2,,0,,PB,S,M,75.0,None (no degree completed),,YesExpired,38.0,two
5191,High,USA,M,25,E,DBAD,N,5,,0,,SG,S,M,4.0,None (no degree completed),,YesExpired,40.0,one
5192,Low,Canada,M,20,E,DA,Y,2,,0,,PB,S,M,3.0,Bachelors (4 years),Yes,YesExpired,50.0,zero
5193,High,USA,M,20,E,DBAD,N,20,,5,,PB,,M,900.0,Bachelors (4 years),Yes,N,45.0,two
5194,Low,UK,M,15,E,DT,N,2,,2,,PB,S,F,3.0,Bachelors (4 years),Yes,N,40.0,one
5195,Very High,USA,M,17,E,DBAG,Y,29,,0,,PB,S,M,2.0,Bachelors (4 years),,YesExpired,40.0,zero
5196,Mid,USA,M,9,E,DBAG,N,2,,1,,PB,S,F,40.0,Bachelors (4 years),Yes,YesValid,45.0,zero
5197,Mid,USA,M,13,E,DBAG,N,13,,0,,LG,S,F,20.0,Masters,No,N,40.0,zero
5198,High,USA,M,15,E,DBAG,N,15,,0,,SG,S,F,15.0,Masters,Yes,YesValid,40.0,zero
5199,Mid,USA,M,10,E,DBAP,N,5,,3,,PB,S,F,20.0,Bachelors (4 years),Yes,YesValid,55.0,zero
5200,Mid,USA,M,15,E,DBAG,N,2,,1,,PB,S,F,12.0,Bachelors (4 years),Yes,N,50.0,five
5201,Very Low,Canada,O,8,E,AN,N,8,,1,,PB,C,M,100.0,None (no degree completed),Yes,YesExpired,37.0,one
5202,High,USA,M,20,E,DBAP,N,7,,4,,PB,S,M,300.0,Bachelors (4 years),Yes,YesExpired,50.0,three
5203,Very High,USA,M,15,E,DBAG,N,1,,0,,PB,SR,M,50.0,None (no degree completed),,N,60.0,two
5204,Very Low,India,M,8,E,DT,Y,4,,2,,PB,S,M,8.0,Bachelors (4 years),Yes,N,50.0,five
5205,Very High,USA,M,15,EC,DBAG,N,1,,1,,PB,S,M,200.0,None (no degree completed),,N,60.0,two
5206,Mid,New-Zealand,M,20,E,A,N,1,,3,,PB,S,M,230.0,None (no degree completed),,YesExpired,40.0,one
5207,Very High,USA,M,21,E,DBAG,N,21,,0,,PB,S,M,26.0,Bachelors (4 years),No,N,45.0,one
5208,High,USA,M,18,EC,DBAD,N,2,,1,,SG,S,M,14.0,Bachelors (4 years),No,N,40.0,zero
5209,High,USA,M,20,E,DBAG,N,2,,0,,PB,S,M,6.0,Associates (2 years),Yes,YesValid,40.0,one
5210,Very Low,Canada,M,5,EC,DBAG,N,5,,6,,PB,SE,M,400.0,Associates (2 years),Yes,N,40.0,zero
5211,Very High,USA,M,16,E,DBAP,N,21,,1,,PB,S,M,35.0,Masters,Yes,YesExpired,40.0,three
5212,Mid,USA,O,2,E,AN,N,2,,1,,E,S,M,10.0,Doctorate/PhD,No,N,40.0,zero
5213,Very Low,Australia,M,2,P,DBAP,N,2,,0,,PB,S,M,15.0,Associates (2 years),Yes,YesValid,24.0,zero
5214,Low,USA,O,2,E,DBAG,N,1,,0,,PB,S,M,2.0,Bachelors (4 years),Yes,YesValid,44.0,zero
5215,High,Canada,M,15,E,DBAP,N,13,,1,,SG,S,M,50.0,Associates (2 years),Yes,N,37.0,zero
5216,Very Low,Thailand,M,4,E,DBAG,N,4,,2,,PB,S,M,100.0,Bachelors (4 years),Yes,N,40.0,zero
5217,Mid,Canada,M,7,E,AN,N,31,,1,,PB,SE,M,5.0,Bachelors (4 years),Yes,N,40.0,zero
5218,Mid,Australia,M,7,E,D,Y,1,,6,,PB,SR,,3.0,Masters,Yes,YesExpired,38.0,one
5219,Low,USA,M,12,E,DA,N,11,,4,,E,SE,M,8.0,None (no degree completed),,N,36.0,zero
5220,Very Low,Turkey,M,2,E,DBAD,N,2,,0,,PB,C,M,3.0,Bachelors (4 years),Yes,N,40.0,zero
5221,Very Low,Moldova,M,10,EC,M,Y,10,,1,,PB,S,M,20.0,Masters,No,YesExpired,40.0,zero
5222,Very Low,Serbia-and-Montenegro,M,7,E,E,N,7,,1,,SG,S,M,2.0,Bachelors (4 years),Yes,YesExpired,40.0,five
5223,Very High,USA,RDS,10,E,E,N,3,,0,,PB,S,M,500000.0,Bachelors (4 years),No,YesExpired,50.0,zero
5224,Low,UK,M,8,E,DBAP,Y,4,,3,,NP,S,M,500.0,None (no degree completed),,YesExpired,40.0,one
5225,Low,Poland,M,10,E,DBAD,N,5,,1,,PB,S,M,14.0,Masters,Yes,YesValid,40.0,two
5226,Very Low,Austria,M,5,E,DBAD,N,4,,1,,PB,SE,F,5.0,Masters,Yes,YesValid,40.0,zero
5227,Very Low,UK,M,15,E,DBAP,N,15,,0,,PB,S,M,70.0,Bachelors (4 years),Yes,YesExpired,35.0,one
5228,Very Low,India,M,2,E,D,Y,2,,4,,PB,SR,M,2.0,Masters,Yes,N,40.0,zero
5229,Very Low,UK,M,10,E,E,N,15,,0,,E,S,M,15.0,None (no degree completed),,N,37.0,zero
5230,Mid,UK,M,22,IC,DBAG,N,2,,1,,PB,,M,120.0,Bachelors (4 years),Yes,YesExpired,35.0,zero
5231,Low,Netherlands,M,9,E,D,N,1,,1,,PB,S,M,40.0,Bachelors (4 years),Yes,YesValid,40.0,one
5232,Mid,USA,M,8,E,DBAG,N,8,,4,,PB,S,M,450.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
5233,Mid,USA,M,17,E,DT,N,3,,2,,PB,SR,M,6.0,Bachelors (4 years),No,YesValid,43.0,two
5234,Very High,USA,M,23,E,DBAD,N,22,,0,,PB,S,M,350.0,Bachelors (4 years),No,YesValid,45.0,zero
5235,High,USA,M,8,E,M,Y,1,,0,,PB,S,M,50.0,Bachelors (4 years),No,N,40.0,zero
5236,Mid,USA,M,12,E,DBAG,N,3,,0,,PB,S,M,15.0,Bachelors (4 years),Yes,N,65.0,zero
5237,Mid,USA,M,10,E,DBAG,N,10,,6,,PB,SE,M,1000.0,Associates (2 years),Yes,YesValid,40.0,one
5238,Low,USA,M,3,E,DBAG,N,3,,4,,PB,S,F,53.0,Masters,Yes,N,37.0,zero
5239,Mid,USA,M,3,E,DBAG,N,5,,0,,PB,SE,M,3.0,Bachelors (4 years),Yes,N,50.0,one
5240,Very Low,UK,M,15,E,DBAP,N,1,,0,,LG,SR,M,75.0,Bachelors (4 years),Yes,N,35.0,zero
5241,Low,USA,M,3,E,DBAG,N,2,,0,,PB,S,M,3.0,None (no degree completed),,N,40.0,zero
5242,Mid,Switzerland,M,7,E,DA,N,7,,3,,PB,C,M,3.0,Masters,Yes,YesExpired,40.0,zero
5243,Very Low,UK,M,1,E,DBAG,N,1,,1,,NP,S,M,150.0,Bachelors (4 years),No,YesValid,40.0,one
5244,Very High,UK,M,11,E,DBAP,N,5,,3,,PB,,M,30.0,None (no degree completed),,YesExpired,40.0,one
5245,Very High,USA,M,15,E,DBAP,N,0,,0,,PB,S,M,50.0,Bachelors (4 years),No,YesExpired,60.0,five
5246,Mid,USA,M,7,E,DBAP,N,7,,2,,PB,S,M,60.0,Bachelors (4 years),Yes,N,40.0,one
5247,Very High,USA,M,20,E,DBAP,N,5,,4,,PB,S,M,100.0,Associates (2 years),Yes,YesValid,40.0,one
5248,Mid,USA,M,3,E,DA,N,6,,1,,PB,S,M,3.0,Bachelors (4 years),No,N,50.0,zero
5249,High,USA,M,12,EC,A,N,1,,0,,PB,S,M,50.0,Masters,Yes,YesValid,50.0,five
5250,Low,USA,M,5,E,A,N,1,,0,,PB,,M,20.0,Bachelors (4 years),No,YesValid,45.0,zero
5251,Very High,USA,P,2,E,A,Y,20,,2,,PB,SE,M,100.0,Masters,No,YesExpired,50.0,two
5252,High,USA,M,11,E,DBAG,N,3,,1,,NP,S,M,200.0,None (no degree completed),,N,40.0,three
5253,Low,USA,M,5,E,M,Y,5,,0,,NP,C,F,3.0,Bachelors (4 years),No,N,40.0,zero
5254,Mid,USA,M,10,E,D,N,6,,0,,PB,S,M,4.0,Bachelors (4 years),No,N,70.0,zero
5255,Mid,USA,M,20,E,A,N,5,,0,,PB,SR,M,2.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
5256,High,USA,M,22,E,DBAG,N,1,,0,,PB,S,M,10.0,None (no degree completed),,YesValid,45.0,zero
5257,Very High,USA,M,18,E,M,Y,18,,2,,PB,,M,6.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
5258,High,USA,M,19,E,DT,N,19,,5,,PB,,M,40.0,None (no degree completed),,YesExpired,45.0,one
5259,Very Low,USA,M,7,E,DBAG,N,7,,0,,NP,S,M,20.0,None (no degree completed),,N,40.0,three
5260,Low,USA,M,15,E,DBAP,N,10,,0,,LG,,F,35.0,Bachelors (4 years),Yes,N,40.0,two
5261,Very High,USA,M,10,E,DBAG,Y,7,,0,,PB,S,M,3.0,Bachelors (4 years),No,N,40.0,zero
5262,Very Low,USA,M,17,EC,DBAP,N,17,,6,,PB,S,F,500.0,None (no degree completed),No,N,50.0,three
5263,Mid,USA,M,6,E,DBAG,N,2,,0,,PB,SR,M,8.0,Associates (2 years),No,YesExpired,40.0,five
5264,Very Low,Brazil,M,8,EC,DBAG,N,8,,2,,PB,SR,M,50.0,Associates (2 years),Yes,YesExpired,52.0,one
5265,Very High,USA,M,10,E,DT,N,1,,2,,PB,C,M,10.0,Bachelors (4 years),No,N,50.0,zero
5266,Very Low,USA,M,1,E,DBAP,N,1,,4,,PB,S,M,8.0,Bachelors (4 years),No,N,45.0,one
5267,Low,USA,M,10,E,DBAG,N,12,,0,,PB,,F,25.0,Bachelors (4 years),Yes,N,42.0,zero
5268,Mid,USA,M,12,E,DBAD,N,11,,0,,PB,SE,M,175.0,Bachelors (4 years),No,N,50.0,two
5269,Low,USA,M,10,E,DBAG,N,6,,0,,E,S,M,4.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
